file_path,file_size,file_md5,is_symlink
/Users/arunpatro/My Drive/Google Photos/2018/VID_20180303_075445373.mp4,37913396,0629eb31724a4acde37996d486be1e78,False
/Users/arunpatro/My Drive/Google Photos/2015/VID_20150312_233516079.mp4,37848603,33c8a68791ee73f2eec44dc8041c8595,False
/Users/arunpatro/My Drive/Google Photos/2018/VID_20180301_125246663.mp4,37631871,2add783e5e9dc48c5a9d73e20abd6380,False
/Users/arunpatro/My Drive/Google Photos/2019/VID_20190616_155419441.mp4,37008331,bf738d63c51a98fe48de9a8e3d444009,False
/Users/arunpatro/My Drive/Google Photos/2018/VID_20180301_112700587.mp4,36986838,b9d2ccdf9174c728fdd96f5399bb2971,False
/Users/arunpatro/My Drive/Google Photos/2017/VID-20171227-WA0008.mp4,36702410,2aabfef2732c1aa4153921c771a5213f,False
/Users/arunpatro/My Drive/Google Photos/2015/VID_20150126_152846588.mp4,36437153,ad7b926bcb28e4fad66715b9f0ffed06,False
/Users/arunpatro/My Drive/Google Photos/2018/VID_20180302_123254362.mp4,36054572,ca473093296cb5783819d744c2c8e9b9,False
/Users/arunpatro/My Drive/Google Photos/2018/VID_20180125_211722731.mp4,35801784,344e4df9eae30d314a7bc0a1d827ff4d,False
/Users/arunpatro/My Drive/Books/Fiction/calvin&hobbes/CalvinHobbesCollection_Book3_of_3.pdf,35682893,4e92a7fc629a95304982dfceee851fc0,False
/Users/arunpatro/My Drive/Books/EE/Power EC/Ned Mohan.pdf,35093028,eae800a95b2efb24dde7b9eb32713147,False
/Users/arunpatro/My Drive/Books/EE/Power EC/Mohan_Power_Electronics_Converters_Applications_Design.pdf,35093028,eae800a95b2efb24dde7b9eb32713147,False
/Users/arunpatro/My Drive/Google Photos/2018/VID_20180302_080154046.mp4,34576917,b2b2809e0f3056a79510c459dfa6e324,False
